,frequency,velocity,power
6.0h50.0m11.72730197742169sX39.0d53.0m51.934547268886604s,1420.294,-23587.383180568264,4.587111111111112
6.0h57.0m41.648322613278594sX39.0d54.0m5.574973487572379s,1420.302,-21898.765967753145,5.611555555555556
7.0h5.0m11.719835024775094sX39.0d54.0m19.11267766653907s,1420.311,-19999.0829705728,8.013777777777777
7.0h12.0m41.851124119944956sX39.0d54.0m32.53037427035167s,1420.307,-20843.385038942626,5.913166666666667
7.0h20.0m11.291113265660613sX39.0d54.0m45.79161918480054s,1420.308,-20632.309298970275,4.499722222222222
7.0h27.0m41.22064891724044sX39.0d54.0m58.91717093822194s,1420.305,-21265.536964663766,5.196555555555555
7.0h35.0m11.298802243847774sX39.0d55.0m11.88273774905042s,1420.317,-18732.634325765768,3.283611111111111
7.0h42.0m41.56126683679659sX39.0d55.0m24.675297485330816s,1420.307,-20843.385038942626,5.063388888888889
7.0h50.0m11.747161819713767sX39.0d55.0m37.273697070639855s,1420.317,-18732.634325765768,3.437777777777778
7.0h57.0m41.96094728605175sX39.0d55.0m49.6674198000818s,1420.324,-17255.11766774466,1.253298611111111
8.0h5.0m12.199850078250307sX39.0d56.0m1.8431023667540103s,1420.337,-14511.177477055722,4.883333333333334
8.0h12.0m42.11654251866676sX39.0d56.0m13.778569847203812s,1420.325,-17044.04445383878,2.3678888888888885
8.0h20.0m12.30918978191582sX39.0d56.0m25.47696980842545s,1420.346,-12611.54128640127,1.7131111111111115
8.0h27.0m42.700248797946045sX39.0d56.0m36.92339400689605s,1420.355,-10711.91713171068,-0.14938888888888868
8.0h35.0m12.888556656116634sX39.0d56.0m48.09542353871109s,1420.344,-13033.681621935046,1.7060555555555559
8.0h42.0m43.09170902835319sX39.0d56.0m58.986691011394896s,1420.344,-13033.681621935046,1.3093333333333335
8.0h50.0m13.254626869465369sX39.0d57.0m9.584257182310125s,1420.339,-14089.035061198614,2.3185
8.0h57.0m43.295122187431474sX39.0d57.0m19.875035799349234s,1420.393,-2691.4145047152406,3.426277777777778
9.0h5.0m13.094722011502569sX39.0d57.0m29.845715136314084s,1419.294,-234739.42520278034,2.6998333333333333
9.0h12.0m43.34897459817981sX39.0d57.0m39.500841483179556s,1420.419,2796.174190378375,0.09544444444444433
9.0h20.0m13.659381055594366sX39.0d57.0m48.82100726996896s,1419.304,-232627.16925215125,4.310944444444445
9.0h27.0m44.021112531106894sX39.0d57.0m57.796037707491905s,1420.404,-369.7301056580665,0.47566666666666657
9.0h35.0m14.009625917660884sX39.0d58.0m6.408272889212867s,1419.361,-220587.594069742,4.865555555555555
9.0h42.0m44.118884201175774sX39.0d58.0m14.65827704795231s,1419.17,-260932.63349176853,1.2102222222222223
9.0h50.0m14.468941119086054sX39.0d58.0m22.539004423715596s,1419.219,-250581.81846911163,2.977333333333333
9.0h57.0m44.766222897633696sX39.0d58.0m30.036673682233754s,1419.45,-201789.92453748372,0.6009444444444446
10.0h5.0m14.823340387814454sX39.0d58.0m37.140543255717944s,1419.348,-223333.41959654816,1.8352777777777782
10.0h12.0m45.087312978602085sX39.0d58.0m43.85013200855042s,1419.241,-245934.62981527258,0.933444444444445
10.0h20.0m15.463654287994899sX39.0d58.0m50.15644882649724s,1419.415,-209182.12606901332,2.9051111111111116
10.0h27.0m45.76696730354357sX39.0d58.0m56.05011654591124s,1419.339,-225234.3904410736,2.455
10.0h35.0m15.952133077399822sX39.0d59.0m1.5245217133787037s,1419.461,-199466.69879277947,0.6648888888888893
10.0h42.0m46.32760018128465sX39.0d59.0m6.57747290970633s,1419.376,-217419.36505086336,2.8759722222222224
10.0h50.0m16.89965149154844sX39.0d59.0m11.203099450194145s,1419.245,-245089.6941504837,1.6422222222222218
10.0h57.0m47.3807903555371sX39.0d59.0m15.393361827862009s,1419.234,-247413.272949539,2.661777777777778
11.0h5.0m17.588398331007227sX39.0d59.0m19.14262059570774s,1419.152,-264735.06330505386,3.4315
11.0h12.0m48.06687565097391sX39.0d59.0m22.4514115679915s,1419.175,-259876.41153212928,2.235444444444445
11.0h20.0m18.215540351881998sX39.0d59.0m25.311884052405844s,1419.422,-207703.67120070432,0.3064999999999995
11.0h27.0m48.83424518729768sX39.0d59.0m27.72585798883597s,1419.223,-249736.86972820736,5.043055555555556
11.0h35.0m18.776365662093042sX39.0d59.0m29.684930609673756s,1419.237,-246779.56785756422,3.315666666666667
11.0h42.0m49.20107402575155sX39.0d59.0m31.192350778139257s,1419.509,-189329.19685839632,1.2645555555555552
11.0h50.0m19.166239783803007sX39.0d59.0m32.243326887632975s,1419.22,-250370.58106100612,0.6506111111111109
11.0h57.0m49.668076836592974sX39.0d59.0m32.83894799125221s,1419.161,-262833.8423804431,1.4790555555555558
12.0h5.0m20.251549694538795sX39.0d59.0m32.97703783800955s,1419.308,-231782.2710324788,2.2016666666666667
12.0h12.0m50.72264268546604sX39.0d59.0m32.65743765054253s,1419.421,-207914.87859324887,4.087055555555555
12.0h20.0m21.12701034477169sX39.0d59.0m31.88073019407284s,1419.142,-266847.54511527554,1.5577777777777777
12.0h27.0m51.714602410310135sX39.0d59.0m30.64713773123117s,1419.302,-233049.6192535887,0.8123333333333329
12.0h35.0m22.135300286122828sX39.0d59.0m28.95891148259068s,1419.226,-249103.15973270178,1.8122777777777777
12.0h42.0m52.64993774905264sX39.0d59.0m26.816988040625347s,1419.345,-223967.07520739624,1.6163333333333336
12.0h50.0m23.158621371694466sX39.0d59.0m24.22399725474861s,1420.614,43949.88761404054,0.7783333333333337
12.0h57.0m53.49802734336137sX39.0d59.0m21.183909858385732s,1419.325,-228191.48012249716,2.2504444444444447
13.0h5.0m23.865899780091837sX39.0d59.0m17.698846299251727s,1420.57,34664.41513126527,-0.6689444444444441
13.0h12.0m54.143419783990794sX39.0d59.0m13.773536027483715s,1419.402,-211927.8472842618,0.4214999999999999
13.0h20.0m24.43759937716905sX39.0d59.0m9.411342990845242s,1419.367,-219320.298450229,0.5180555555555556
13.0h27.0m54.80236190369496sX39.0d59.0m4.6162737859907566s,1420.562,32976.11649997727,1.9189444444444443
13.0h35.0m25.257664600660235sX39.0d58.0m59.39300389693301s,1420.543,28966.369136708978,2.670166666666667
13.0h42.0m55.858602623018356sX39.0d58.0m53.74613920732088s,1419.364,-219953.94559133856,3.057666666666666
13.0h50.0m26.16378722260677sX39.0d58.0m47.68744834047823s,1419.368,-219109.08303372073,3.354055555555555
13.0h57.0m56.63139672322501sX39.0d58.0m41.217423195227525s,1419.168,-261355.1233158202,2.4849999999999994
14.0h5.0m26.97987061467657sX39.0d58.0m34.346955398804084s,1420.59,38885.12010371906,3.13
14.0h12.0m57.138769865521795sX39.0d58.0m27.084863016487475s,1420.556,31709.886285624685,3.6984444444444446
14.0h20.0m27.07567952198673sX39.0d58.0m19.43995116823885s,1420.583,37407.88012433923,2.649444444444445
14.0h27.0m57.560416817499345sX39.0d58.0m11.406887900197376s,1420.576,35930.63286387796,2.1019444444444444
14.0h35.0m27.854008138296393sX39.0d58.0m3.006974247513199s,1420.576,35930.63286387796,2.3887222222222224
14.0h42.0m58.18764998037366sX39.0d57.0m54.24505534220032s,1420.577,36141.66863259643,1.433
14.0h50.0m27.868800239114222sX39.0d57.0m45.14467501001491s,1420.569,34453.37832246836,0.43455555555555525
14.0h57.0m58.118072351767864sX39.0d57.0m35.690949560005265s,1420.581,36985.81022141582,0.6638333333333335
15.0h5.0m29.582660200200195sX39.0d57.0m25.878398132936127s,1420.576,35930.63286387796,2.0744444444444445
15.0h12.0m59.60701422385554sX39.0d57.0m15.77545315745283s,1420.59,38885.12010371906,4.034055555555555
15.0h20.0m29.961096568931822sX39.0d57.0m5.354375855931721s,1420.587,38252.0181470138,4.225833333333333
15.0h27.0m59.859090695334345sX39.0d56.0m54.64459456584848s,1420.582,37196.845247240155,3.8970000000000007
15.0h35.0m30.359258077911022sX39.0d56.0m43.63222784377797s,1420.579,36563.73972419041,1.87
15.0h43.0m0.7628107317711397sX39.0d56.0m32.34564230921194s,1420.588,38463.05228115217,2.9012222222222217
15.0h50.0m31.003002318359307sX39.0d56.0m20.798812554590427s,1420.588,38463.05228115217,2.811166666666667
15.0h58.0m1.2740736172322897sX39.0d56.0m8.99921761825567s,1420.584,37618.91485291273,3.6280555555555556
16.0h5.0m31.75281853200289sX39.0d55.0m56.95464915637274s,1420.573,35297.5246663028,1.7130000000000003
16.0h13.0m1.5829390959933676sX39.0d55.0m44.701207886492966s,1420.59,38885.12010371906,2.4075
16.0h20.0m31.491787665014215sX39.0d55.0m32.23259871276696s,1420.587,38252.0181470138,3.4619999999999997
16.0h28.0m1.6401917865945848sX39.0d55.0m19.557464863740393s,1420.577,36141.66863259643,2.434
16.0h35.0m31.990712325767845sX39.0d55.0m6.690126296601306s,1420.574,35508.560880731144,3.763
16.0h43.0m1.765910971110145sX39.0d54.0m53.66676448946407s,1420.563,33187.154348985736,4.5217777777777775
16.0h50.0m32.02174283867265sX39.0d54.0m40.4707964363331s,1420.575,35719.59694663391,3.154611111111111
16.0h58.0m2.2832720476625923sX39.0d54.0m27.130001108805004s,1420.56,32554.0403562505,2.964888888888889
17.0h5.0m32.595822822351295sX39.0d54.0m13.65729033830462s,1420.541,28544.287346480793,2.9882222222222223
17.0h13.0m2.6208602577210627sX39.0d54.0m0.07730388227912499s,1420.553,31076.76917252103,0.6155555555555559
17.0h20.0m32.57985721350991sX39.0d53.0m46.39801899281622s,1420.509,21790.897868437343,0.8266666666666665
17.0h28.0m2.505777264857727sX39.0d53.0m32.63309485424031s,1420.54,28333.24622851176,2.324333333333333
17.0h35.0m32.519159581053714sX39.0d53.0m18.793554647281212s,1420.543,28966.369136708978,3.6223333333333336
17.0h43.0m2.3936490627104945sX39.0d53.0m4.901171711933898s,1420.513,22635.079874319574,3.8750555555555555
17.0h50.0m32.47666293217861sX39.0d52.0m50.96007753275444s,1420.474,14404.20390239606,3.499777777777777
17.0h58.0m2.4510803274336013sX39.0d52.0m36.99499931214689s,1420.515,23057.169985774384,2.9077777777777776
18.0h5.0m32.25529165866163sX39.0d52.0m23.022813941163918s,1420.466,12715.791152341293,2.1454444444444443
18.0h13.0m2.1721203267344436sX39.0d52.0m9.049694708220386s,1420.501,20102.52672411681,3.311222222222222
18.0h20.0m31.7637306832367sX39.0d51.0m55.104175170222334s,1420.502,20313.57363724603,3.6654444444444447
18.0h28.0m1.4597636397266456sX39.0d51.0m41.18783566981051s,1420.499,19680.43245214851,4.061555555555555
18.0h35.0m31.06570379188298sX39.0d51.0m27.321578867911853s,1420.492,18203.097819507027,6.983194444444445
18.0h43.0m0.8311881825829914sX39.0d51.0m13.512558570777742s,1420.486,16936.805196520516,4.6835555555555555
18.0h50.0m30.30843025740495sX39.0d50.0m59.789260267703526s,1420.479,15459.457041993777,5.133222222222223
18.0h57.0m59.88215061689061sX39.0d50.0m46.154572388689985s,1420.472,13982.101606451886,5.862166666666667
19.0h5.0m29.419398223635085sX39.0d50.0m32.62713097789458s,1420.474,14404.20390239606,7.018111111111111
19.0h12.0m58.87151671019126sX39.0d50.0m19.222826555500205s,1420.466,12715.791152341293,5.263722222222222
19.0h20.0m28.49292770330152sX39.0d50.0m5.948455171591149s,1420.46,11449.475348979993,5.86811111111111
19.0h27.0m57.87928496692018sX39.0d49.0m52.83012261168153s,1420.45,9338.937122539643,9.176277777777777
19.0h35.0m27.27545331694614sX39.0d49.0m39.87460531141437s,1420.445,8283.66243708068,11.330833333333333
19.0h42.0m56.75845955898524sX39.0d49.0m27.093602131319585s,1420.44,7228.384036884615,10.624888888888888
19.0h50.0m25.96923536902267sX39.0d49.0m14.510880192250966s,1420.433,5750.988035753261,11.751722222222224
19.0h57.0m55.204972921326885sX39.0d49.0m2.131417675275884s,1420.433,5750.988035753261,14.477722222222221
20.0h5.0m24.514946371098745sX39.0d48.0m49.96716995862414s,1420.43,5117.816092081458,15.9135
20.0h12.0m53.84792249628305sX39.0d48.0m38.0326128674551s,1420.426,4273.584753540138,18.681361111111112
20.0h20.0m23.16806592070293sX39.0d48.0m26.3414800831481s,1420.425,4062.5265474077996,17.764722222222222
20.0h27.0m52.42708591139717sX39.0d48.0m14.90748037230503s,1420.421,3218.292237090104,16.600055555555553
20.0h35.0m21.72609984287135sX39.0d48.0m3.7402629448178004s,1420.416,2162.996005769826,13.257333333333333
20.0h42.0m50.79673818083734sX39.0d47.0m52.85827442836137s,1420.419,2796.174190378375,16.1295
20.0h50.0m19.982610143519253sX39.0d47.0m42.26473059869022s,1420.413,1529.8164839650856,14.400277777777777
20.0h57.0m49.426002124924935sX39.0d47.0m31.96798822603057s,1420.412,1318.7563461348334,11.086444444444444
21.0h5.0m18.801408619906113sX39.0d47.0m21.986726159262844s,1420.41,896.6356247644542,11.516555555555556
21.0h12.0m48.024279080024996sX39.0d47.0m12.333280215439686s,1420.409,685.5750411577603,9.309611111111112
21.0h20.0m17.031574824650875sX39.0d47.0m3.0189362699121602s,1420.407,263.45342816793084,8.037666666666667
21.0h27.0m46.10822648379866sX39.0d46.0m54.047590781234476s,1420.4,-1213.9768977161234,6.980388888888888
21.0h35.0m15.178407440380681sX39.0d46.0m45.43043314953309s,1420.402,-791.8532045028006,6.409111111111111
21.0h42.0m44.44457298361499sX39.0d46.0m37.17303452781891s,1420.398,-1636.1011853646028,9.958166666666667
21.0h50.0m13.372260956973037sX39.0d46.0m29.293879743482307s,1420.392,-2902.477614355153,5.585611111111111
21.0h57.0m42.352987953514116sX39.0d46.0m21.79417718121158s,1420.396,-2058.226067315103,6.357500000000001
22.0h5.0m11.027372577683536sX39.0d46.0m14.68762502888353s,1420.385,-4379.923542514512,5.146277777777779
22.0h12.0m39.860263448163664sX39.0d46.0m7.974272175774786s,1420.379,-5646.311561725822,6.5945
22.0h20.0m8.676621426110387sX39.0d46.0m1.664105193582941s,1420.376,-6279.507577292178,4.9319444444444445
