1419.000,0.018,0.018,0.595
1419.001,0.018,0.018,0.887
1419.002,0.018,0.018,0.995
1419.004,0.018,0.018,0.814
1419.005,0.018,0.018,-0.605
1419.006,0.017,0.018,-1.215
1419.007,0.017,0.018,-0.998
1419.008,0.017,0.018,-0.905
1419.009,0.017,0.017,0.587
1419.011,0.017,0.017,0.874
1419.012,0.017,0.017,-1.386
1419.013,0.017,0.017,-0.823
1419.014,0.017,0.017,0.312
1419.015,0.017,0.017,-0.334
1419.016,0.017,0.017,-1.806
1419.018,0.017,0.017,-0.519
1419.019,0.017,0.017,1.889
1419.020,0.017,0.017,1.476
1419.021,0.017,0.017,0.190
1419.022,0.017,0.017,1.022
1419.023,0.017,0.017,1.105
1419.025,0.017,0.017,-0.354
1419.026,0.017,0.017,-0.102
1419.027,0.017,0.017,-0.311
1419.028,0.017,0.017,0.022
1419.029,0.017,0.017,1.107
1419.030,0.017,0.017,0.717
1419.032,0.017,0.017,-1.319
1419.033,0.017,0.017,-1.840
1419.034,0.017,0.017,-2.255
1419.035,0.017,0.017,-1.583
1419.036,0.017,0.017,-1.077
1419.037,0.016,0.017,-0.142
1419.039,0.016,0.016,1.399
1419.040,0.016,0.017,-0.627
1419.041,0.016,0.017,-0.838
1419.042,0.016,0.017,-0.193
1419.043,0.016,0.017,-0.490
1419.045,0.016,0.017,-0.776
1419.046,0.016,0.017,-2.100
1419.047,0.016,0.017,-2.334
1419.048,0.016,0.017,-1.050
1419.049,0.016,0.017,-0.599
1419.050,0.016,0.017,-0.292
1419.052,0.016,0.016,0.477
1419.053,0.016,0.016,1.447
1419.054,0.016,0.016,2.015
1419.055,0.016,0.016,1.456
1419.056,0.016,0.017,-0.256
1419.057,0.016,0.017,-0.652
1419.059,0.016,0.016,0.862
1419.060,0.016,0.016,1.133
1419.061,0.016,0.017,0.810
1419.062,0.016,0.017,0.331
1419.063,0.016,0.017,0.136
1419.064,0.016,0.017,-0.449
1419.066,0.016,0.017,-0.380
1419.067,0.017,0.017,1.128
1419.068,0.017,0.017,0.361
1419.069,0.017,0.017,-1.377
1419.070,0.017,0.017,-0.415
1419.071,0.017,0.017,-0.027
1419.073,0.017,0.017,-2.329
1419.074,0.017,0.017,-1.259
1419.075,0.017,0.017,0.198
1419.076,0.017,0.017,0.539
1419.077,0.017,0.017,0.646
1419.079,0.017,0.017,-0.488
1419.080,0.017,0.017,-1.089
1419.081,0.017,0.017,-1.786
1419.082,0.017,0.017,-1.570
1419.083,0.017,0.017,-0.416
1419.084,0.017,0.017,1.192
1419.086,0.017,0.017,1.911
1419.087,0.017,0.017,2.056
1419.088,0.017,0.017,1.111
1419.089,0.017,0.017,1.907
1419.090,0.017,0.017,3.018
1419.091,0.018,0.017,2.175
1419.093,0.018,0.018,0.543
1419.094,0.018,0.018,0.954
1419.095,0.018,0.018,-0.239
1419.096,0.018,0.018,-1.972
1419.097,0.018,0.018,-1.118
1419.098,0.018,0.018,0.005
1419.100,0.018,0.018,0.359
1419.101,0.018,0.018,-0.057
1419.102,0.018,0.018,-0.842
1419.103,0.018,0.018,-1.541
1419.104,0.018,0.019,-1.237
1419.105,0.018,0.018,0.710
1419.107,0.019,0.018,2.656
1419.108,0.019,0.018,3.142
1419.109,0.019,0.019,0.728
1419.110,0.019,0.019,-1.062
1419.111,0.019,0.019,-0.593
1419.112,0.019,0.019,-0.168
1419.114,0.019,0.019,0.290
1419.115,0.019,0.019,1.219
1419.116,0.019,0.019,3.795
1419.117,0.019,0.019,2.326
1419.118,0.019,0.020,0.192
1419.120,0.020,0.020,0.301
1419.121,0.020,0.020,-0.449
